"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"1040F","1","1","1","1","1","0","0","20180412","20180531"
"1041F","1","1","1","1","1","0","0","20180412","20180531"
"1042F","1","1","1","1","1","1","0","20180412","20180531"
"1043F","1","1","1","1","1","1","0","20180412","20180531"
"1044F","0","1","1","0","0","0","1","20180415","20180527"
"1045F","0","1","1","0","0","0","1","20180415","20180527"
"1046F","1","1","1","1","1","1","1","20180412","20180531"
"1047F","1","1","1","1","1","1","1","20180412","20180531"
"1048F","0","0","0","0","0","1","0","20180414","20180526"
"103550E","0","0","0","0","0","1","0","20181229","20181229"
"103551E","1","0","0","1","1","0","0","20180430","20181231"
"103552E","1","1","1","1","1","1","0","20180412","20181231"
"103553E","0","0","1","1","0","1","1","20180415","20181230"
"103554E","1","1","1","1","1","0","0","20180412","20181231"
"103555E","1","1","1","1","1","1","0","20180412","20181222"
"103556E","1","0","1","0","1","0","0","20180413","20181221"
"103557E","1","1","1","1","1","0","0","20180730","20180824"
"103558E","1","1","1","1","1","1","0","20180412","20181222"
"103559E","1","0","1","0","0","0","0","20180416","20181219"
"103560E","1","1","1","1","1","1","0","20180430","20181231"
"103561E","1","1","1","1","1","0","0","20180412","20181231"
"103562E","1","1","1","1","1","1","0","20180412","20181231"
"103563E","0","0","0","0","0","1","0","20180414","20181229"
"103564E","1","1","1","1","1","0","0","20180412","20181231"
"103565E","1","1","1","1","1","1","0","20180730","20180825"
"103566E","0","1","1","1","1","1","0","20180412","20181229"
"103567E","1","1","1","1","1","0","0","20180611","20180907"
"103568E","1","1","1","1","1","0","0","20180412","20181231"
"103569E","1","1","1","1","1","0","0","20180412","20181231"
"103570E","1","1","1","1","1","0","0","20180611","20180907"
"103571E","0","0","1","1","0","1","1","20180415","20181230"
"103572E","1","1","1","1","1","0","0","20180412","20181231"
"103573E","1","1","1","1","1","0","0","20180412","20181231"
"103574E","1","1","1","1","1","1","0","20180412","20181222"
"103575E","1","1","1","1","1","1","0","20180412","20181231"
"103576E","0","0","0","0","0","1","0","20180414","20181229"
"103577E","0","1","0","0","0","0","0","20180501","20181225"
"103578E","1","1","1","1","1","0","0","20180730","20180824"
"103579E","1","1","1","1","1","0","0","20180412","20181221"
"103580E","0","0","0","0","0","1","0","20180414","20181229"
"103581E","1","1","1","1","1","1","1","20180610","20180909"
"103582E","0","0","1","1","0","0","0","20180412","20181220"
"103583E","1","0","0","0","1","0","0","20180413","20181221"
"103584E","0","1","1","1","0","0","0","20180412","20181220"
"103585E","1","1","1","1","1","1","0","20180730","20180825"
"103586E","0","0","0","1","0","0","0","20180412","20181227"
"103587E","1","1","1","1","1","0","0","20180412","20181231"
"103588E","1","1","1","1","1","0","0","20180412","20181231"
"103589E","1","1","1","1","1","0","0","20180412","20181231"
"103590E","1","1","1","1","1","1","0","20180412","20181231"
"103591E","0","0","1","1","0","1","1","20180415","20181230"
"103592E","1","1","1","1","1","0","0","20180412","20181221"
"103593E","1","1","1","1","1","1","0","20180412","20181222"
"103594E","1","1","1","1","1","1","0","20180730","20180825"
"103595E","1","1","1","1","1","0","0","20180412","20181221"
"103596E","1","1","1","1","1","1","0","20180412","20181231"
"103597E","1","1","1","1","1","0","0","20180611","20180907"
"103598E","1","1","1","1","1","0","0","20180730","20180824"
"103599E","1","1","1","1","1","0","0","20180412","20181231"
"103600E","1","1","1","1","1","0","0","20180412","20181231"
"103601E","1","1","1","1","1","1","0","20180412","20181231"
"103602E","1","1","1","1","1","0","0","20180412","20181231"
"103603E","1","1","1","1","1","0","0","20180412","20181231"
"103604E","1","1","1","1","1","0","0","20180412","20181231"
"103605E","1","1","1","1","1","1","0","20180430","20181231"
"103606E","1","1","1","1","1","0","0","20180412","20181221"
"103607E","0","0","1","1","0","1","1","20180415","20181230"
"103608E","0","0","1","1","0","1","1","20180415","20181230"
"103609E","1","1","1","1","1","1","0","20180412","20181231"
"103610E","0","0","0","1","0","0","0","20180412","20181227"
"103611E","1","1","1","1","1","1","0","20180412","20181222"
"103612E","1","1","1","1","1","1","0","20180412","20181231"
"103613E","1","1","1","1","1","0","0","20180611","20180907"
"103614E","1","1","1","1","1","0","0","20180412","20181231"
"103615E","1","1","1","1","1","0","0","20180412","20181231"
"103616E","1","1","1","1","1","0","0","20180412","20181231"
"103617E","0","1","0","0","0","0","0","20180417","20181218"
"103618E","1","1","1","1","1","1","0","20180412","20181231"
"103619E","0","0","0","1","0","0","0","20180412","20181227"
"103620E","1","1","1","1","1","1","0","20180412","20181231"
"103621E","0","0","1","1","0","1","1","20180415","20181230"
"103622E","1","1","1","1","1","1","1","20180412","20181231"
"103623E","1","1","1","1","0","0","0","20180412","20181220"
"103624E","1","1","1","1","1","0","0","20180412","20181221"
"103625E","1","1","1","1","1","0","0","20180412","20181231"
"103626E","1","1","1","1","1","0","0","20180412","20181231"
"103627E","1","1","1","1","1","0","0","20180412","20181231"
"103628E","1","1","1","1","1","0","0","20180412","20181231"
"103629E","1","1","1","1","1","0","0","20180412","20181231"
"103630E","0","0","1","0","0","0","0","20180418","20181219"
"103631E","0","0","0","0","0","1","0","20180414","20181222"
"103632E","0","0","0","0","0","1","0","20180414","20181229"
"103633E","0","1","0","0","0","0","0","20180501","20181225"
"103634E","1","1","1","1","1","0","0","20180412","20181231"
"103635E","1","1","1","1","1","0","0","20180412","20181231"
"103636E","1","1","1","1","1","0","0","20180412","20181231"
"103637E","0","0","0","0","0","1","0","20180616","20180908"
"103638E","0","0","0","0","0","1","0","20180616","20180908"
"103639E","0","0","0","0","0","1","0","20180616","20180908"
"103640E","1","0","0","0","0","0","0","20180611","20180903"
"103641E","0","0","1","0","0","0","1","20180610","20180909"
"103642E","0","0","1","1","0","1","1","20180415","20181230"
"103643E","1","1","1","1","1","1","1","20180412","20181231"
"103644E","0","1","0","0","0","0","0","20180501","20181225"
"103645E","1","1","1","1","1","1","0","20180611","20180908"
"103646E","1","1","1","1","1","1","0","20180412","20181231"
"103647E","1","1","1","1","1","1","0","20180412","20181231"
"103648E","1","1","1","1","1","1","0","20180412","20181231"
"103649E","1","1","1","1","1","0","0","20180412","20181221"
"103650E","1","1","1","1","1","0","0","20180412","20181221"
"103651E","1","1","1","1","1","0","0","20180412","20181231"
"103652E","0","0","0","0","0","1","0","20180414","20181229"
"103653E","1","1","1","1","1","0","0","20180412","20181231"
"103654E","1","1","1","1","1","1","0","20180412","20181231"
"103655E","1","1","1","1","1","0","0","20180412","20181231"
"103656E","1","1","1","1","1","0","0","20180412","20181231"
"103657E","1","1","1","1","1","0","0","20180412","20181231"
"103658E","1","1","1","1","1","1","0","20180412","20181231"
"103659E","0","0","0","0","1","0","0","20180413","20181221"
"103660E","0","0","1","0","0","0","0","20180418","20181219"
"103661E","0","0","0","0","0","1","0","20180414","20181229"
"103662E","1","1","1","1","1","0","0","20180412","20181231"
"103663E","1","1","1","1","1","0","0","20180730","20180824"
"103664E","0","1","0","0","0","0","0","20180501","20181225"
"103665E","0","1","0","0","0","0","0","20180501","20181225"
"103666E","1","1","1","1","1","0","0","20180412","20181221"
"103667E","1","1","1","1","1","1","0","20180430","20181231"
"103668E","1","1","1","1","1","1","0","20180412","20181222"
"103669E","1","1","1","1","1","1","0","20180412","20181231"
"103670E","1","1","1","1","1","1","0","20180412","20181231"
"103671E","1","1","0","1","1","0","0","20180412","20181221"
"103672E","1","1","1","1","1","1","0","20180412","20181231"
"103673E","1","1","1","1","1","0","0","20180412","20181231"
"103674E","1","1","1","1","1","0","0","20180430","20181231"
"103675E","1","1","1","1","1","0","0","20180412","20181221"
"103676E","1","1","1","1","1","1","0","20180412","20181231"
"103677E","1","1","1","1","1","0","0","20180412","20181231"
"103678E","0","0","0","0","0","1","0","20180414","20181229"
"103679E","1","1","1","1","0","0","0","20180412","20181220"
"103680E","1","1","1","1","1","0","0","20180412","20181231"
"103681E","1","1","1","1","1","0","0","20180412","20181221"
"103682E","1","1","1","1","1","1","0","20180430","20181231"
"103683E","1","1","1","1","1","1","0","20180412","20181231"
"103684E","1","1","1","1","1","1","0","20180412","20181222"
"103685E","0","0","0","0","0","1","0","20180414","20181222"
"103686E","0","0","0","0","0","1","0","20180414","20181229"
"103687E","1","1","1","1","1","1","0","20180611","20180908"
"103688E","0","0","0","0","0","1","0","20181229","20181229"
"103689E","0","0","0","0","0","1","0","20180616","20180908"
"103690E","1","1","1","1","1","1","0","20180412","20181231"
"103691E","1","1","1","1","1","0","0","20180412","20181221"
"103692E","1","1","1","1","1","1","0","20180412","20181222"
"103693E","1","1","1","1","1","1","0","20180412","20181231"
"103694E","1","1","1","1","1","0","0","20180412","20181231"
"103695E","1","1","1","1","1","0","0","20180412","20181221"
"103696E","0","0","0","0","0","1","0","20180414","20181229"
"103697E","1","0","1","0","1","0","0","20180413","20181221"
"103698E","1","1","1","1","1","0","0","20180430","20181231"
"103699E","1","1","1","1","1","0","0","20180412","20181221"
"103700E","0","0","0","0","0","1","0","20180414","20181229"
"103701E","0","0","0","0","0","1","0","20180804","20180825"
"103702E","0","1","0","0","0","0","0","20180501","20181225"
"103703E","0","0","0","0","0","1","0","20180414","20181229"
"103704E","0","0","1","1","0","1","1","20180415","20181230"
"103705E","0","0","1","0","0","0","1","20180610","20180909"
"103706E","0","0","0","0","0","1","0","20180414","20181229"
"103707E","0","0","0","0","0","1","0","20180804","20180825"
"103708E","0","0","0","0","0","1","0","20181229","20181229"
"103709E","0","0","1","0","0","0","1","20180701","20180826"
"103710E","0","0","0","0","0","0","1","20180415","20180415"
"103711E","1","0","0","0","0","0","0","20180416","20181231"
"103712E","1","1","1","1","1","0","0","20180412","20181221"
"103713E","1","1","1","1","1","1","0","20180412","20181222"
"103714E","1","1","1","1","1","1","0","20180412","20181231"
"103715E","1","1","1","1","1","0","0","20180412","20181221"
"103716E","1","1","1","1","1","0","0","20180412","20181231"
"103717E","1","1","1","1","1","0","0","20180611","20180907"
"103718E","1","1","1","1","1","0","0","20180412","20181221"
