"service_id","date","exception_type"
"1040F","20180412","1"
"1040F","20180413","1"
"1040F","20180416","1"
"1040F","20180417","1"
"1040F","20180418","1"
"1040F","20180419","1"
"1040F","20180420","1"
"1040F","20180423","1"
"1040F","20180424","1"
"1040F","20180425","2"
"1040F","20180426","1"
"1040F","20180427","1"
"1040F","20180430","1"
"1040F","20180501","2"
"1040F","20180502","1"
"1040F","20180503","1"
"1040F","20180504","1"
"1040F","20180507","1"
"1040F","20180508","1"
"1040F","20180509","1"
"1040F","20180510","1"
"1040F","20180511","1"
"1040F","20180514","1"
"1040F","20180515","1"
"1040F","20180516","1"
"1040F","20180517","1"
"1040F","20180518","1"
"1040F","20180521","1"
"1040F","20180522","1"
"1040F","20180523","1"
"1040F","20180524","1"
"1040F","20180525","1"
"1040F","20180528","1"
"1040F","20180529","1"
"1040F","20180530","1"
"1040F","20180531","1"
"1041F","20180412","1"
"1041F","20180413","1"
"1041F","20180416","1"
"1041F","20180417","1"
"1041F","20180418","1"
"1041F","20180419","1"
"1041F","20180420","1"
"1041F","20180423","1"
"1041F","20180424","1"
"1041F","20180425","2"
"1041F","20180426","1"
"1041F","20180427","1"
"1041F","20180430","1"
"1041F","20180501","2"
"1041F","20180502","1"
"1041F","20180503","1"
"1041F","20180504","1"
"1041F","20180507","1"
"1041F","20180508","1"
"1041F","20180509","1"
"1041F","20180510","1"
"1041F","20180511","1"
"1041F","20180514","1"
"1041F","20180515","1"
"1041F","20180516","1"
"1041F","20180517","1"
"1041F","20180518","1"
"1041F","20180521","1"
"1041F","20180522","1"
"1041F","20180523","1"
"1041F","20180524","1"
"1041F","20180525","1"
"1041F","20180528","1"
"1041F","20180529","1"
"1041F","20180530","1"
"1041F","20180531","1"
"1042F","20180412","1"
"1042F","20180413","1"
"1042F","20180414","1"
"1042F","20180416","1"
"1042F","20180417","1"
"1042F","20180418","1"
"1042F","20180419","1"
"1042F","20180420","1"
"1042F","20180421","1"
"1042F","20180423","1"
"1042F","20180424","1"
"1042F","20180425","2"
"1042F","20180426","1"
"1042F","20180427","1"
"1042F","20180428","1"
"1042F","20180430","1"
"1042F","20180501","2"
"1042F","20180502","1"
"1042F","20180503","1"
"1042F","20180504","1"
"1042F","20180505","1"
"1042F","20180507","1"
"1042F","20180508","1"
"1042F","20180509","1"
"1042F","20180510","1"
"1042F","20180511","1"
"1042F","20180512","1"
"1042F","20180514","1"
"1042F","20180515","1"
"1042F","20180516","1"
"1042F","20180517","1"
"1042F","20180518","1"
"1042F","20180519","1"
"1042F","20180521","1"
"1042F","20180522","1"
"1042F","20180523","1"
"1042F","20180524","1"
"1042F","20180525","1"
"1042F","20180526","1"
"1042F","20180528","1"
"1042F","20180529","1"
"1042F","20180530","1"
"1042F","20180531","1"
"1043F","20180412","1"
"1043F","20180413","1"
"1043F","20180414","1"
"1043F","20180416","1"
"1043F","20180417","1"
"1043F","20180418","1"
"1043F","20180419","1"
"1043F","20180420","1"
"1043F","20180421","1"
"1043F","20180423","1"
"1043F","20180424","1"
"1043F","20180425","2"
"1043F","20180426","1"
"1043F","20180427","1"
"1043F","20180428","1"
"1043F","20180430","1"
"1043F","20180501","2"
"1043F","20180502","1"
"1043F","20180503","1"
"1043F","20180504","1"
"1043F","20180505","1"
"1043F","20180507","1"
"1043F","20180508","1"
"1043F","20180509","1"
"1043F","20180510","1"
"1043F","20180511","1"
"1043F","20180512","1"
"1043F","20180514","1"
"1043F","20180515","1"
"1043F","20180516","1"
"1043F","20180517","1"
"1043F","20180518","1"
"1043F","20180519","1"
"1043F","20180521","1"
"1043F","20180522","1"
"1043F","20180523","1"
"1043F","20180524","1"
"1043F","20180525","1"
"1043F","20180526","1"
"1043F","20180528","1"
"1043F","20180529","1"
"1043F","20180530","1"
"1043F","20180531","1"
"1044F","20180415","1"
"1044F","20180417","2"
"1044F","20180418","2"
"1044F","20180422","1"
"1044F","20180424","2"
"1044F","20180425","1"
"1044F","20180429","1"
"1044F","20180501","1"
"1044F","20180502","2"
"1044F","20180506","1"
"1044F","20180508","2"
"1044F","20180509","2"
"1044F","20180513","1"
"1044F","20180515","2"
"1044F","20180516","2"
"1044F","20180520","1"
"1044F","20180522","2"
"1044F","20180523","2"
"1044F","20180527","1"
"1045F","20180415","1"
"1045F","20180417","2"
"1045F","20180418","2"
"1045F","20180422","1"
"1045F","20180424","2"
"1045F","20180425","1"
"1045F","20180429","1"
"1045F","20180501","1"
"1045F","20180502","2"
"1045F","20180506","1"
"1045F","20180508","2"
"1045F","20180509","2"
"1045F","20180513","1"
"1045F","20180515","2"
"1045F","20180516","2"
"1045F","20180520","1"
"1045F","20180522","2"
"1045F","20180523","2"
"1045F","20180527","1"
"1046F","20180412","1"
"1046F","20180413","1"
"1046F","20180414","1"
"1046F","20180415","1"
"1046F","20180416","1"
"1046F","20180417","1"
"1046F","20180418","1"
"1046F","20180419","1"
"1046F","20180420","1"
"1046F","20180421","1"
"1046F","20180422","1"
"1046F","20180423","1"
"1046F","20180424","1"
"1046F","20180425","1"
"1046F","20180426","1"
"1046F","20180427","1"
"1046F","20180428","1"
"1046F","20180429","1"
"1046F","20180430","1"
"1046F","20180501","1"
"1046F","20180502","1"
"1046F","20180503","1"
"1046F","20180504","1"
"1046F","20180505","1"
"1046F","20180506","1"
"1046F","20180507","1"
"1046F","20180508","1"
"1046F","20180509","1"
"1046F","20180510","1"
"1046F","20180511","1"
"1046F","20180512","1"
"1046F","20180513","1"
"1046F","20180514","1"
"1046F","20180515","1"
"1046F","20180516","1"
"1046F","20180517","1"
"1046F","20180518","1"
"1046F","20180519","1"
"1046F","20180520","1"
"1046F","20180521","1"
"1046F","20180522","1"
"1046F","20180523","1"
"1046F","20180524","1"
"1046F","20180525","1"
"1046F","20180526","1"
"1046F","20180527","1"
"1046F","20180528","1"
"1046F","20180529","1"
"1046F","20180530","1"
"1046F","20180531","1"
"1047F","20180412","1"
"1047F","20180413","1"
"1047F","20180414","1"
"1047F","20180415","1"
"1047F","20180416","1"
"1047F","20180417","1"
"1047F","20180418","1"
"1047F","20180419","1"
"1047F","20180420","1"
"1047F","20180421","1"
"1047F","20180422","1"
"1047F","20180423","1"
"1047F","20180424","1"
"1047F","20180425","1"
"1047F","20180426","1"
"1047F","20180427","1"
"1047F","20180428","1"
"1047F","20180429","1"
"1047F","20180430","1"
"1047F","20180501","1"
"1047F","20180502","1"
"1047F","20180503","1"
"1047F","20180504","1"
"1047F","20180505","1"
"1047F","20180506","1"
"1047F","20180507","1"
"1047F","20180508","1"
"1047F","20180509","1"
"1047F","20180510","1"
"1047F","20180511","1"
"1047F","20180512","1"
"1047F","20180513","1"
"1047F","20180514","1"
"1047F","20180515","1"
"1047F","20180516","1"
"1047F","20180517","1"
"1047F","20180518","1"
"1047F","20180519","1"
"1047F","20180520","1"
"1047F","20180521","1"
"1047F","20180522","1"
"1047F","20180523","1"
"1047F","20180524","1"
"1047F","20180525","1"
"1047F","20180526","1"
"1047F","20180527","1"
"1047F","20180528","1"
"1047F","20180529","1"
"1047F","20180530","1"
"1047F","20180531","1"
"1048F","20180414","1"
"1048F","20180421","1"
"1048F","20180428","1"
"1048F","20180505","1"
"1048F","20180512","1"
"1048F","20180519","1"
"1048F","20180526","1"
