"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color"
"METROU","U","M1","linea 1 metropolitana - stazione fermi (collegno) - stazione lingotto","","1","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=METRO&Regol=GE","FF0000","FFFFFF"
"4U","U","4","via delle querce/via dei faggi (falchera) - corso unione sovietica/strada del drosso","","0","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=4&Regol=GE","FFE100","0000FF"
"3U","U","3","piazzale vallette - corso tortona/corso belgio","","0","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=3&Regol=GE","FFE100","0000FF"
"6U","U","6","piazza hermada - piazza carlo felice","","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=6&Regol=GE","FF9900","0000FF"
"7U","T","7","piazza castello - corso vittorio emanuele ii(porta nuova) - piazza castello","","0","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=7&Regol=OR","33CC00","000000"
"9U","U","9","piazza stampalia - corso massimo d'azeglio","","0","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=9&Regol=GE","FFE100","0000FF"
"10U","U","10","corso settembrini - rondò della forca - via massari","","0","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=10&Regol=GE","FFE100","0000FF"
"15U","U","15","via brissogne - piazza coriolano(sassi) ","","0","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=15&Regol=GE","FFE100","0000FF"
"16CDU","U","16 CD","circolare destra, piazza sabotino - piazza repubblica (porta palazzo)","","0","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=16CD&Regol=GE","FFE100","0000FF"
"16CSU","U","16 CS","circolare sinistra, piazza sabotino - piazza repubblica (porta palazzo)","","0","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=16CS&Regol=GE","FFE100","0000FF"
"79U","T","79","cremagliera sassi - superga","","7","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=79&Regol=OR","33CC00","000000"
"FTCF","F","SFMA","torino - aeroporto - ceres","","2","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=F&linea=FTC&Regol=OR","B8B8B8","0000FF"
"CANF","F","SFM1","canavesana, pont - rivarolo - torino - chieri","","2","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=F&linea=CAN&Regol=OR","B8B8B8","0000FF"
"13U","U","13","via servais(festivo) - piazza campanella - piazza gran madre di dio","","0","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=13&Regol=GE","FFE100","0000FF"
"1U","U","1","via artom - piazza carducci","","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=1&Regol=GE","FF9900","0000FF"
"101U","U","101","metrobus, via artom - via de amicis (stazione metro fermi - collegno)","","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=101&Regol=OR","FF9900","0000FF"
"102U","U","102","navetta cimitero parco","","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=102&Regol=OR","FF9900","0000FF"
"1068E","E","1068","collegno - condove","","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=E&linea=1068&Regol=OR","0080FF","FFFFFF"
"1085E","E","1085","torino (cap. vari) - fiat rivalta","","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=E&linea=1085&Regol=OR","0080FF","FFFFFF"
"1086E","E","1086","rivoli - reano - trana","","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=E&linea=1086&Regol=OR","0080FF","FFFFFF"
"1087E","E","1087","rivoli - buttigliera - avigliana","","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=E&linea=1087&Regol=OR","0080FF","FFFFFF"
"1091E","E","1091","collegno - rubiana","","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=E&linea=1091&Regol=OR","0080FF","FFFFFF"
"1099E","E","1099","servizio atipico chiusa san michele - condove","","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=E&linea=1099&Regol=OR","0080FF","FFFFFF"
"10NU","U","10N","navetta feriale, via massari - piazza xviii dicembre","","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=10N&Regol=GE","FF9900","0000FF"
"11U","U","11","piazza de gasperi (venaria) - corso stati uniti - corso tazzoli (festivo)","","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=11&Regol=GE","FF9900","0000FF"
"1117E","E","1117","collegno - sito fiat rivalta","","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=E&linea=1117&Regol=OR","0080FF","FFFFFF"
"12U","U","12","feriale, corso tazzoli (poste e telecomunicazioni) - piazza carlo felice","","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=12&Regol=GE","FF9900","0000FF"
"13NU","U","13N","navetta, via servais - piazza campanella","","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=13N&Regol=OR","FF9900","0000FF"
"14U","U","14","via trento (nichelino) - piazza solferino","","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=14&Regol=OR","FF9900","0000FF"
"1432E","E","1432","none - alpignano (linea di gronda) ","","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=E&linea=1432&Regol=OR","0080FF","FFFFFF"
"1510E","E","1510","torino - orbassano - cumiana","","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=E&linea=1510&Regol=OR","0080FF","FFFFFF"
"1511E","E","1511","torino - orbassano - giaveno","","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=E&linea=1511&Regol=OR","0080FF","FFFFFF"
"1514E","E","1514","servizio operaio fiat mirafiori (cumiana)","","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=E&linea=1514&Regol=OR","0080FF","FFFFFF"
"17U","U","17","ospedale di rivoli - via ventimiglia","","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=17&Regol=GE","FF9900","0000FF"
"17BU","U","17 /","feriale,via crea (ist. castellamonte -grugliasco) - via ventimiglia","","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=17B&Regol=GE","FF9900","0000FF"
"18U","U","18","piazza sofia - piazzale caio mario","","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=18&Regol=GE","FF9900","0000FF"
"1800E","E","1800","servizio navetta - fiat mirafiori - agap grugliasco","","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=E&linea=1800&Regol=OR","0080FF","FFFFFF"
"19U","U","19","circolare, corso cadore - piazza solerino - corso cadore","","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=19&Regol=OR","FF9900","0000FF"
"1CU","U","1C","chieri, feriale, urbana, via fratelli cervi - via rocchette","","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=1C&Regol=OR","FF9900","0000FF"
"1NU","U","1N","urbana nichelino, mart.- sab.,piazza parco della rimembranza (cimitero) - via martiri xxv aprile","","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=1N&Regol=OR","FF9900","0000FF"
"2U","U","2","via ponchielli - via corradino","","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=2&Regol=GE","FF9900","0000FF"
"20U","U","20","feriale,via torre pellice - park stura","","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=U&linea=20&Regol=OR","FF9900","0000FF"
"2009E","E","2009","autolinea delle langhe (dir. grinzane - sinio)","","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=E&linea=2009&Regol=OR","0080FF","FFFFFF"
"2014E","E","2014","torino - poirino - alba","","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=E&linea=2014&Regol=OR","0080FF","FFFFFF"
"2016E","E","2016","canale - sommariva - racconigi","","3","http://www.gtt.to.it/cms/percorari/urbano?view=percorsi&bacino=E&linea=2016&Regol=OR","0080FF","FFFFFF"
