"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"6","10","Fermata 10 - RUBIANA","C.FRANCIA / V.BORGOSESIA","45.07545","7.63915","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=10","","","Europe/Rome","1"
"7","100","Fermata 100 - TOSCANA","C.POTENZA N.102/A","45.09583","7.65728","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=100","","","Europe/Rome","1"
"8","1000","Fermata 1000 - CIMABUE","V.RUBINO N.79","45.03823","7.61928","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1000","","","Europe/Rome","1"
"9","1001","Fermata 1001 - INDUNO","C.TAZZOLI N.221","45.03665","7.61916","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1001","","","Europe/Rome","1"
"10","1002","Fermata 1002 - INDUNO","C.TAZZOLI N.202","45.03702","7.61983","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1002","","","Europe/Rome","1"
"11","1003","Fermata 1003 - CATTANEO OVEST","C.TAZZOLI/P.CATTANEO","45.03565","7.6233","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1003","","","Europe/Rome","1"
"12","1004","Fermata 1004 - CATTANEO OVEST","C.TAZZOLI N.162","45.03623","7.62334","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1004","","","Europe/Rome","1"
"13","1005","Fermata 1005 - CATTANEO EST","C.TAZZOLI DOPO P.CATTANEO","45.03512","7.62594","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1005","","","Europe/Rome","2"
"14","1006","Fermata 1006 - CATTANEO EST","C.TAZZOLI/P.CATTANEO","45.03538","7.62603","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1006","","","Europe/Rome","2"
"15","1007","Fermata 1007 - POMA","C.TAZZOLI FRONTE V.POMA","45.03372","7.62999","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1007","","","Europe/Rome","2"
"16","1008","Fermata 1008 - POMA","C.TAZZOLI / V.POMA","45.034","7.63013","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1008","","","Europe/Rome","2"
"17","1009","Fermata 1009 - SIRACUSA","C.TAZZOLI CANCELLO 1","45.03266","7.63317","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1009","","","Europe/Rome","2"
"18","101","Fermata 101 - VALDELLATORRE","C.POTENZA / V.VALDELLATORRE","45.09477","7.65646","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=101","","","Europe/Rome","2"
"19","1010","Fermata 1010 - SIRACUSA","C.TAZZOLI / C.SIRACUSA","45.03266","7.63413","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1010","","","Europe/Rome","1"
"20","1011","Fermata 1011 - TRAIANO","C.AGNELLI / C.TRAIANO","45.02662","7.63701","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1011","","","Europe/Rome","1"
"21","1012","Fermata 1012 - CAIO MARIO NORD","C.AGNELLI / P.LE CAIO MARIO","45.02408","7.6352","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1012","","","Europe/Rome","2"
"22","1013","Fermata 1013 - CAIO MARIO NORD","C.AGNELLI / P.LE CAIO MARIO","45.02517","7.63639","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1013","","","Europe/Rome","2"
"23","1014","Fermata 1014 - CAIO MARIO EST","V.O.VIGLIANI N.6","45.02213","7.63657","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1014","","","Europe/Rome","2"
"24","1015","Fermata 1015 - CAIO MARIO EST","V.O.VIGLIANI N.9","45.02253","7.63646","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1015","","","Europe/Rome","1"
"25","1016","Fermata 1016 - CROCE","V.O.VIGLIANI FRONTE C.B.CROCE","45.01818","7.64384","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1016","","","Europe/Rome","1"
"26","1017","Fermata 1017 - CROCE","V.O.VIGLIANI / C.B.CROCE","45.01861","7.64407","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1017","","","Europe/Rome","1"
"27","1018","Fermata 1018 - ARTOM","V.O.VIGLIANI / V.ARTOM","45.01741","7.64733","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1018","","","Europe/Rome","1"
"28","1019","Fermata 1019 - ARTOM","V.O.VIGLIANI DOPO V.PIO VII","45.01784","7.64751","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1019","","","Europe/Rome","1"
"29","102","Fermata 102 - GROSSETO","STR.ALTESSANO / C.GROSSETO","45.10589","7.64538","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=102","","","Europe/Rome","1"
"30","1020","Fermata 1020 - MILLELIRE","V.O.VIGLIANI / V.MILLELIRE","45.01714","7.65082","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1020","","","Europe/Rome","2"
"31","1021","Fermata 1021 - SETTE COMUNI","V. O. VIGLIANI PRIMA DI V. VII COMUNI","45.01769","7.65398","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1021","","","Europe/Rome","2"
"32","1022","Fermata 1022 - PLINIO","V. ONORATO VIGLIANI N. 184","45.01725","7.65577","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1022","","","Europe/Rome","2"
"33","1023","Fermata 1023 - BENGASI","V.O.VIGLIANI / P.BENGASI","45.01741","7.66135","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1023","","","Europe/Rome","1"
"34","1024","Fermata 1024 - BENGASI SUD","C.ROMA N.83 MONCALIERI","45.01563","7.66239","3","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1024","","","Europe/Rome","1"
"35","1025","Fermata 1025 - TARTINI","V.BOTTICELLI N.80","45.09982","7.70801","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1025","","","Europe/Rome","1"
"36","1026","Fermata 1026 - BENGASI SUD","C.ROMA / V.TIEPOLO  MONCALIERI","45.01525","7.66284","3","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1026","","","Europe/Rome","1"
