"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed"
"1U","225054U","13401772U","PORTA NUOVA","","1","1-1","1UAs01A1","1",""
"1U","225054U","13401814U","PORTA NUOVA","","1","1-2","1UAs01A1","1",""
"1U","225447U","13418240U","PORTA NUOVA","","1","1-1","1UAs01A1","1",""
"1U","225447U","13418274U","PORTA NUOVA","","1","1-2","1UAs01A1","1",""
"1U","225590U","13418405U","PORTA NUOVA","","1","1-2","1UAs01A1","1",""
"1U","225590U","13418519U","PORTA NUOVA","","1","1-1","1UAs01A1","1",""
"1U","225054U","13401755U","CARDUCCI","","1","1-1","1UAs01A11","1",""
"1U","225054U","13401756U","CARDUCCI","","1","1-1","1UAs01A11","1",""
"1U","225054U","13401757U","CARDUCCI","","1","1-1","1UAs01A11","1",""
"1U","225054U","13401758U","CARDUCCI","","1","1-1","1UAs01A11","1",""
"1U","225054U","13401759U","CARDUCCI","","1","1-1","1UAs01A11","1",""
"1U","225054U","13401760U","CARDUCCI","","1","1-1","1UAs01A11","1",""
"1U","225054U","13401761U","CARDUCCI","","1","1-1","1UAs01A11","1",""
"1U","225054U","13401762U","CARDUCCI","","1","1-1","1UAs01A11","1",""
"1U","225054U","13401763U","CARDUCCI","","1","1-1","1UAs01A11","1",""
"1U","225054U","13401764U","CARDUCCI","","1","1-1","1UAs01A11","1",""
"1U","225054U","13401765U","CARDUCCI","","1","1-1","1UAs01A11","1",""
"1U","225054U","13401766U","CARDUCCI","","1","1-1","1UAs01A11","1",""
"1U","225054U","13401767U","CARDUCCI","","1","1-1","1UAs01A11","1",""
"1U","225054U","13401768U","CARDUCCI","","1","1-1","1UAs01A11","1",""
"1U","225054U","13401769U","CARDUCCI","","1","1-1","1UAs01A11","1",""
"1U","225054U","13401770U","CARDUCCI","","1","1-1","1UAs01A11","1",""
"1U","225054U","13401771U","CARDUCCI","","1","1-1","1UAs01A11","1",""
"1U","225054U","13401791U","CARDUCCI","","1","1-2","1UAs01A11","1",""
"1U","225054U","13401792U","CARDUCCI","","1","1-2","1UAs01A11","1",""
"1U","225054U","13401793U","CARDUCCI","","1","1-2","1UAs01A11","1",""
"1U","225054U","13401794U","CARDUCCI","","1","1-2","1UAs01A11","1",""
"1U","225054U","13401795U","CARDUCCI","","1","1-2","1UAs01A11","1",""
"1U","225054U","13401796U","CARDUCCI","","1","1-2","1UAs01A11","1",""
"1U","225054U","13401797U","CARDUCCI","","1","1-2","1UAs01A11","1",""
"1U","225054U","13401798U","CARDUCCI","","1","1-2","1UAs01A11","1",""
"1U","225054U","13401799U","CARDUCCI","","1","1-2","1UAs01A11","1",""
"1U","225054U","13401800U","CARDUCCI","","1","1-2","1UAs01A11","1",""
"1U","225054U","13401801U","CARDUCCI","","1","1-2","1UAs01A11","1",""
